"DO","time","day"
6.01,22:27:11,1
5.97,22:32:01,1
5.98,22:37:01,1
5.99,22:42:01,1
5.96,22:47:01,1
5.98,22:52:01,1
5.93,22:57:01,1
5.98,23:02:02,1
5.99,23:07:01,1
5.97,23:12:11,1
5.96,23:17:01,1
5.91,23:22:01,1
5.94,23:27:01,1
5.95,23:32:01,1
5.95,23:37:01,1
5.97,23:42:01,1
5.96,23:47:01,1
5.96,23:52:01,1
5.95,23:57:01,1
5.93,00:02:01,2
5.93,00:07:01,2
5.94,00:12:01,2
5.92,00:17:02,2
5.94,00:22:01,2
5.94,00:27:11,2
5.93,00:32:11,2
5.93,00:37:01,2
5.92,00:42:01,2
5.92,00:47:01,2
5.92,00:52:01,2
5.91,00:57:01,2
5.91,01:02:01,2
5.9,01:07:02,2
5.9,01:12:01,2
5.89,01:17:01,2
5.86,01:22:01,2
5.85,01:27:01,2
5.83,01:32:01,2
5.83,01:37:02,2
5.83,01:42:01,2
5.83,01:47:01,2
5.81,01:52:01,2
5.77,01:57:01,2
5.72,02:02:01,2
5.75,02:07:01,2
5.75,02:12:11,2
5.72,02:17:11,2
5.71,02:22:01,2
5.71,02:27:01,2
5.73,02:32:01,2
5.74,02:37:01,2
5.75,02:42:01,2
5.74,02:47:01,2
5.78,02:52:01,2
5.77,02:57:01,2
5.76,03:02:01,2
5.74,03:07:01,2
5.75,03:12:11,2
5.76,03:17:11,2
5.77,03:22:01,2
5.76,03:27:01,2
5.76,03:32:01,2
5.76,03:37:01,2
5.77,03:42:01,2
5.77,03:47:01,2
5.77,03:52:11,2
5.77,03:57:01,2
5.77,04:02:01,2
5.77,04:07:01,2
5.77,04:12:01,2
5.74,04:17:01,2
5.76,04:22:01,2
5.76,04:27:11,2
5.75,04:32:01,2
5.76,04:37:01,2
5.76,04:42:01,2
5.75,04:47:01,2
5.76,04:52:01,2
5.71,04:57:01,2
5.71,05:02:01,2
5.73,05:07:01,2
5.73,05:12:01,2
5.72,05:17:01,2
5.7,05:22:01,2
5.72,05:27:01,2
5.71,05:32:01,2
5.71,05:37:01,2
5.66,05:42:01,2
5.68,05:47:11,2
5.69,05:52:01,2
5.67,05:57:01,2
5.67,06:02:01,2
5.67,06:07:01,2
5.67,06:12:11,2
5.69,06:17:01,2
5.69,06:22:11,2
5.69,06:27:01,2
5.7,06:32:01,2
5.59,06:37:01,2
5.69,06:42:01,2
5.68,06:47:01,2
5.68,06:52:01,2
5.68,06:57:01,2
5.67,07:02:01,2
5.67,07:07:01,2
